============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:           105                                         |
|  Number of clauses:             512                                         |
|  Parse time:                   0.00 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
|       100 |     105      512     2304 |      187      100     25 |  0.009 % |
|       250 |     105      512     2304 |      206      150     19 |  0.009 % |
|       475 |     105      512     2304 |      227      239     20 |  0.009 % |
|       812 |     105      512     2304 |      249      180     18 |  0.009 % |
|      1318 |     105      512     2304 |      274      246     18 |  0.009 % |
|      2077 |     105      512     2304 |      302      211     17 |  0.009 % |
|      3216 |     105      512     2304 |      332      247     17 |  0.009 % |
|      4924 |     105      512     2304 |      365      213     15 |  0.009 % |
|      7486 |     105      512     2304 |      402      253     18 |  0.009 % |
|     11330 |     105      512     2304 |      442      347     17 |  0.009 % |
|     17096 |     105      512     2304 |      486      333     17 |  0.009 % |
|     25745 |     105      512     2304 |      535      461     19 |  0.009 % |
|     38719 |     105      512     2304 |      589      533     16 |  0.009 % |
|     58180 |     105      512     2304 |      648      384     14 |  0.009 % |
|     87372 |     105      512     2304 |      712      377     15 |  0.009 % |
|    131161 |     105      512     2304 |      784      493     14 |  0.009 % |
|    196845 |     105      512     2304 |      862      733     17 |  0.009 % |
|    295371 |     105      512     2304 |      948      771     17 |  0.009 % |
|    443160 |     105      512     2304 |     1043      539     21 |  0.009 % |
|    664843 |     105      512     2304 |     1148     1062     16 |  0.009 % |
|    997368 |     105      512     2304 |     1262     1169     19 |  0.009 % |
|   1496156 |     105      512     2304 |     1389      929     18 |  0.009 % |
|   2244338 |     105      512     2304 |     1528     1113     24 |  0.009 % |
|   3366612 |     105      512     2304 |     1681      951     19 |  0.009 % |
|   5050023 |     105      512     2304 |     1849     1100     22 |  0.009 % |
|   7575139 |     105      512     2304 |     2034     1270     21 |  0.009 % |
|  11362814 |     105      512     2304 |     2237     1254     24 |  0.009 % |
|  17044326 |     105      512     2304 |     2461     1699     19 |  0.009 % |
|  25566595 |     105      512     2304 |     2707     2293     26 |  0.009 % |
|  38349998 |     105      512     2304 |     2978     2108     21 |  0.009 % |
|  57525103 |     105      512     2304 |     3275     2525     21 |  0.009 % |
|  86287761 |     105      512     2304 |     3603     2309     22 |  0.009 % |
| 129431749 |     105      512     2304 |     3963     2624     20 |  0.009 % |
| 194147731 |     105      512     2304 |     4360     3661     20 |  0.009 % |
| 291221704 |     105      512     2304 |     4796     3570     19 |  0.009 % |
| 436832664 |     105      512     2304 |     5275     3819     20 |  0.009 % |

Execution timed out after 3 hours.
