============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:         13313                                         |
|  Number of clauses:           26662                                         |
|  Parse time:                   0.05 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
|       100 |   13211    26662    66177 |     9776      100     39 |  0.767 % |
|       250 |   13211    26662    66177 |    10753      250     53 |  0.766 % |
|       475 |   12836    25912    64429 |    11829      472     60 |  3.583 % |
|       812 |   12836    25912    64429 |    13011      809     61 |  3.583 % |
|      1318 |   12836    25912    64429 |    14313     1315     63 |  3.583 % |
|      2077 |   12479    25432    63229 |    15744     2069     57 |  6.265 % |
|      3216 |   12479    25198    62644 |    17318     3208     54 |  6.265 % |
|      4924 |   12479    25198    62644 |    19050     4916     50 |  6.265 % |
|      7486 |   12479    25198    62644 |    20955     7478     51 |  6.265 % |
|     11330 |   11925    24090    59874 |    23051    11307     50 | 10.426 % |
|     17096 |   11809    23858    59294 |    25356    17067     52 | 11.297 % |
|     25745 |   11707    23654    58784 |    27892    25715     52 | 12.064 % |
|     38719 |   11707    23654    58784 |    30681    22219     49 | 12.064 % |
|     58180 |   11707    23654    58784 |    33749    22682     47 | 12.064 % |
|     87372 |   11486    23212    57679 |    37124    29027     46 | 13.724 % |
|    131161 |   11367    22974    57084 |    40837    16810     45 | 14.617 % |
|    196845 |   11367    22974    57084 |    44920    25570     38 | 14.618 % |
|    295371 |   11367    22974    57084 |    49412    18899     36 | 14.618 % |
|    443160 |   11367    22974    57084 |    54354    50499     41 | 14.618 % |
|    664843 |   11367    22974    57084 |    59789    50818     41 | 14.618 % |
|    997368 |   11367    22974    57084 |    65768    48610     39 | 14.618 % |
|   1496156 |   11367    22974    57084 |    72345    52776     39 | 14.618 % |
|   2244338 |   11367    22974    57084 |    79579    21774     37 | 14.618 % |
|   3366612 |   11367    22974    57084 |    87537    68535     26 | 14.617 % |
|   5050023 |   11367    22974    57084 |    96291    72909     44 | 14.618 % |
|   7575139 |   11367    22974    57084 |   105920    88854     37 | 14.618 % |
|  11362814 |   11367    22974    57084 |   116512    51599     44 | 14.618 % |
|  17044326 |   11367    22974    57084 |   128164    23464     30 | 14.618 % |

Execution timed out after 3 hours.
