============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:           237                                         |
|  Number of clauses:             632                                         |
|  Parse time:                   0.02 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
|       100 |     237      632     1896 |      231      100     21 |  0.002 % |
|       250 |     237      632     1896 |      254      250     19 |  0.002 % |
|       475 |     237      632     1896 |      280      274     16 |  0.002 % |
|       812 |     237      632     1896 |      308      265     14 |  0.002 % |
|      1318 |     237      632     1896 |      339      190     11 |  0.002 % |
|      2077 |     237      632     1896 |      373      303     12 |  0.002 % |
|      3216 |     237      632     1896 |      410      248     12 |  0.002 % |
|      4924 |     237      632     1896 |      451      325     11 |  0.002 % |
|      7486 |     237      632     1896 |      496      572     14 |  0.002 % |
|     11330 |     237      632     1896 |      546      292     12 |  0.002 % |
|     17096 |     237      632     1896 |      601      529     16 |  0.002 % |
|     25745 |     237      632     1896 |      661      545     12 |  0.002 % |
|     38719 |     237      632     1896 |      727      736     17 |  0.002 % |
|     58180 |     237      632     1896 |      800      791     19 |  0.002 % |
|     87372 |     237      632     1896 |      880      789     22 |  0.002 % |
|    131161 |     237      632     1896 |      968      779     12 |  0.002 % |
|    196845 |     237      632     1896 |     1064      784     18 |  0.002 % |
|    295371 |     237      632     1896 |     1171      803     12 |  0.002 % |
|    443160 |     237      632     1896 |     1288      691     18 |  0.002 % |
|    664843 |     237      632     1896 |     1417      791     19 |  0.002 % |
|    997368 |     237      632     1896 |     1558      809     23 |  0.002 % |
|   1496156 |     237      632     1896 |     1714     1019     17 |  0.002 % |
|   2244338 |     237      632     1896 |     1886     1733     24 |  0.002 % |
|   3366612 |     237      632     1896 |     2075     1637     22 |  0.002 % |
|   5050023 |     237      632     1896 |     2282     1813     24 |  0.002 % |
|   7575139 |     237      632     1896 |     2510     2064     20 |  0.002 % |
|  11362814 |     237      632     1896 |     2761     1513     22 |  0.002 % |
|  17044326 |     237      632     1896 |     3038     1756     21 |  0.002 % |
|  25566595 |     237      632     1896 |     3341     1815     23 |  0.002 % |
|  38349998 |     237      632     1896 |     3676     1973     21 |  0.002 % |
|  57525103 |     237      632     1896 |     4043     3061     31 |  0.002 % |
|  86287761 |     237      632     1896 |     4447     2720     22 |  0.002 % |
| 129431749 |     237      632     1896 |     4892     3399     20 |  0.002 % |
| 194147731 |     237      632     1896 |     5382     3368     20 |  0.002 % |
| 291221704 |     237      632     1896 |     5920     3200     25 |  0.002 % |

Execution timed out after 3 hours.
