============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          2400                                         |
|  Number of clauses:            9600                                         |
|  Parse time:                   0.03 s                                       |
|                                                                             |
============================[ Search Statistics ]==============================
| Conflicts |          ORIGINAL         |          LEARNT          | Progress |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          |
===============================================================================
|       100 |    2400     9600    38400 |     3520      100     13 |  0.000 % |
|       250 |    2400     9600    38400 |     3872      250     15 |  0.000 % |
|       475 |    2400     9600    38400 |     4259      475     19 |  0.000 % |
|       812 |    2400     9600    38400 |     4685      812     19 |  0.000 % |
|      1318 |    2400     9600    38400 |     5153     1318     18 |  0.000 % |
|      2077 |    2400     9600    38400 |     5668     2077     16 |  0.000 % |
|      3216 |    2400     9600    38400 |     6235     3216     17 |  0.000 % |
|      4924 |    2400     9600    38400 |     6859     4924     16 |  0.000 % |
|      7486 |    2400     9600    38400 |     7545     7486     16 |  0.000 % |
|     11330 |    2400     9600    38400 |     8299     7324     15 |  0.000 % |
|     17096 |    2400     9600    38400 |     9129     8878     15 |  0.000 % |
|     25745 |    2400     9600    38400 |    10042     7964     16 |  0.000 % |
|     38719 |    2400     9600    38400 |    11047     5557     16 |  0.000 % |
|     58180 |    2400     9600    38400 |    12151     7853     15 |  0.000 % |
|     87372 |    2400     9600    38400 |    13367    11360     22 |  0.000 % |
|    131161 |    2400     9600    38400 |    14703     7691     16 |  0.000 % |
|    196845 |    2400     9600    38400 |    16174    12185     18 |  0.000 % |
|    295371 |    2400     9600    38400 |    17791     9356     16 |  0.000 % |
|    443160 |    2400     9600    38400 |    19570     9899     25 |  0.000 % |
|    664843 |    2400     9600    38400 |    21527    11809     17 |  0.000 % |
|    997368 |    2400     9600    38400 |    23680    13614     19 |  0.000 % |
|   1496156 |    2400     9600    38400 |    26048    16446     14 |  0.000 % |
|   2244338 |    2400     9600    38400 |    28653    26218     20 |  0.000 % |
|   3366612 |    2400     9600    38400 |    31519    16863     15 |  0.000 % |
|   5050023 |    2400     9600    38400 |    34671    32085     25 |  0.000 % |
|   7575139 |    2400     9600    38400 |    38138    22167     41 |  0.000 % |
|  11362814 |    2400     9600    38400 |    41951    28092     35 |  0.000 % |
|  17044326 |    2400     9600    38400 |    46147    29305     30 |  0.000 % |
|  25566595 |    2400     9600    38400 |    50761    42141     30 |  0.000 % |
|  38349998 |    2400     9600    38400 |    55838    42923     58 |  0.000 % |
|  57525103 |    2400     9600    38400 |    61421    42741     36 |  0.000 % |
|  86287761 |    2400     9600    38400 |    67564    15874     17 |  0.000 % |
| 129431749 |    2400     9600    38400 |    74320    60089     23 |  0.000 % |
| 194147731 |    2400     9600    38400 |    81752    17741     18 |  0.000 % |

Execution timed out after 3 hours.
